company_name,text,label
Publications International,"We do not knowingly collect, use or disclose personally identifiable information from anyone under 13 years of age",0
Publications International,Remember that any information that you disclose in these areas becomes public information and is not subject to the provisions of this Privacy Policy,0
Publications International,"The Sites may make available chat rooms, forums, message boards, and news groups",0
Publications International,"The Sites may make available chat rooms, forums, message boards, and news groups. Remember that any information that you disclose in these areas becomes public information and is not subject to the provisions of this Privacy Policy",0
Publications International,"If you wish to verify, correct, delete or update any of your Personal Information collected through the Sites, you may contact us at the above address or e-mail",1
Mini Mango,"Our Apps do not employ cookies or any technology that permits tracking of Personal Data. Therefore, be sure that Amuse does not collect any Personal Data about your online activities over time",0
Mini Mango,"If you post Personal Data about yourself on the Downloading Service Platform via comments for example, in addition to being collected, such data is made public for others to see",0
Moshi Kids,"Information that is automatically collected: Whenever you interact with our Services, we automatically record information from your browser or device",0
Moshi Kids,What information do you collect about me?,0
Moshi Kids,"Information that we may ask for: Whenever you interact with our Services, we automatically record information from your browser or device",0
Moshi Kids,"We may display your chosen profile information along with your activity levels on our Services, to friends with whom you have connected",0
Moshi Kids,"We may share your Personal Information, where appropriate, with any member of our group of companies",0
Moshi Kids,How long do you keep my Personal Information for? How can I delete it?,1
Moshi Kids,You also have the right to have your personal information erased,1
Moshi Kids,"If you wish to delete the Personal Information that we hold on you, you may do so by contacting us",1
Moshi Kids,You can make requests by completing our online form here,1
Playdate Digital,does not collect personal information from children under the age of 13,0
Playdate Digital,"We do not request that children provide us with personal information, and do not offer features that are intended to collect such information from children",0
Playdate Digital,"If you have any question regarding PlayDate Digital’s data collection practices regarding children, please contact us",1
Wolfoo,PERSONAL INFORMATION WE COLLECT,0
Wolfoo,"When you visit the Site, we automatically collect certain information about your device",0
Wolfoo,"you have the right to access personal information we hold about you and to ask that your personal information be corrected, updated, or deleted",1
Wolfoo,"If you would like to exercise this right, please contact us through the contact information below",1
Pocoyo,"With respect to under-sixteen years old, in no event shall ZINKIA permit them to directly submit any personal data",0
Pocoyo,"the consent of the user to the processing of his or her data shall always be reversible, without retroactive effects",1
Pocoyo,"The user may, at any time and free of charge, exercise his or her rights to access, to rectification, to erasure, to restriction, to data portability and to object",1
Pocoyo,object by raising request to the postal or the e-mail addresses above-indicated in the terms established by the current legislation,1
PBS Kids,What information do we collect?,0
PBS Kids,we may collect your user name and password,0
PBS Kids,We collect your zip code and other rough information about your location when using the Services,0
PBS Kids,We do not collect,0
PBS Kids,Parents or legal guardians may also contact us to ask if we have collected their child's personal account information,1
PBS Kids,"to review that information, if any, and request that PBS KIDS stop collecting this information and have it deleted",1
Play Toddlers,We do not collect personal information,0
Play Toddlers,PlayToddlers does not collect any information that allows users to be identified individually,0
Play Toddlers,"In addition, PlayToddlers may collect non-personal information about the use of your website and its applications for the sole purpose of improving its content",0
Story Toys,We do not knowingly process children’s personal data,0
Story Toys,"Typically, we process the following kinds of personal data when you use a StoryToys App",0
Story Toys,"We also collect, use and share aggregated data such as statistical or demographic data for various purposes",0
Story Toys,You have the right to request a copy of your personal data we control,1
Story Toys,You can request to have any incomplete or inaccurate personal data we control corrected,1
Story Toys,You also have the right to ask us to delete or remove your personal data where you have exercised your right to object to processing,1
Story Toys,"In order to exercise one or more of your rights in respect of your personal data, please contact us in writing using the information provided in the Contact us section below",1
Story Toys,"If you have any questions about this privacy notice, including any requests to exercise your legal rights, please contact us by email",1
BimiBoo,Information we collect and how we collect it,0
BimiBoo,"""we explain in detail what personal data we collect and have access to, the purposes for which we use them, and legal bases on which we rely when processing your personal data",0
BimiBoo,As a parent or legal guardian you have the following rights regarding your child’s use of Bimi Boo:,1
BimiBoo,To review the personal information we collected from your child,1
BimiBoo,To revoke the consent to use or further collect your child’s personal information,1
BimiBoo,To request that your child’s personal information be changed or deleted,1
BimiBoo,Parents can exercise their rights shown directly above by contacting us using the contact information at the top of this page,1
SMG Studio,"Users may be asked for, as appropriate, name, email address, mailing address, phone number",0
SMG Studio,"We may collect non-personal identification information about Users which may include the browser name, the type of computer and technical information about Users means of connection to our Site",0
RV AppStudios,"We use technologies like cookies on our website (small files stored by your browser or operating system), web beacons, or unique device identifiers to anonymously identify your computer or device",0
RV AppStudios,"Our systems also logs information like your browser, operating system, IP address and anonymous usage data",0
TocaBoca,we do not collect anything that is personally identifiable in our apps for children,0
TocaBoca,"If you want to opt out of services, or review or delete your information, please contact us",1
Crab's SW Studio,We may collect non-personal information about your use of our Apps and aggregated information regarding the usages of the Apps,0
MGA Entertainment,"the child’s first and last name, mailing address, gender, date of birth, email address and phone number",0
MGA Entertainment,"Parents or guardians can change or revoke the consent choices previously made, and review, edit, or request the deletion of the personal data of the children for whom they provided consent or authorization",1
MGA Entertainment,"Parents or legal guardians who have questions about personal information that may have been submitted by a child, or to exercise the rights as set forth above, should email us at",1
Cartoon Network,We might need to ask permission from your adult before you can give us this information,0
Cartoon Network,"This information can include things like: your first name, your location  your email address, your username, your telephone number, your home address, numbers that identify your account or your electronic device, a photo or video of you, a voice recording, our opinions or views on our Services or that of our partners your entry to one of our contests",0
Cartoon Network,"You can request details of the information we hold, along with a copy of your information, and the correction of any errors in your information",1
Cartoon Network,"The right, in certain circumstances, to ask for your information to be deleted",1
Cartoon Network,You (or your adult) can withdraw consent at any time in respect of any processing of information which is based upon a consent,1
ABCYA,"The Platform may occasionally collect a Child's first name and online contact information (typically, an e-mail address) but does not generally collect name, address, or other contact information from Children",0
ABCYA,Parents have the right to review and request that ABCya delete any Personal Information that the Platform has collected and retained about their Child,1
