App,Developer,privacyPolicy
YouTube Kids,Google LLC,http://www.google.com/intl/en/policies/privacy/
Toca Life World: Build a Story,Toca Boca,http://tocaboca.com/privacy
Toca Kitchen 2,Toca Boca,http://www.tocaboca.com/privacy
Zigazoo Kids,Zigazoo,https://zigazoo.com/privacy-policy
Angel Studios,Angel Studios, Inc.,https://www.angel.com/legal/privacy
Avatar World: City Life,Pazu Games,https://www.pazugames.com/privacy-policy/
PBS KIDS Games,PBS KIDS,http://pbskids.org/privacy/
Messenger Kids – The Messaging,Meta Platforms, Inc.,https://www.facebook.com/legal/messengerkids/privacypolicy?version=2020
Tizi Town: My Princess Games,IDZ Digital Private Limited,http://idzdigital.com/privacypolicy.php
Fluvsies - A Fluff to Luv,TutoTOONS,https://tutotoons.com/privacy_policy/embeded
PBS KIDS Video,PBS KIDS,https://pbskids.org/privacy/
House Designer : Fix & Flip,Karate Goose Studio,http://karategoosestudio.com/
My City: Police Game for Kids,My Town Games Ltd,https://my-town.com/privacy-policy/
Toca Hair Salon 4,Toca Boca,https://tocaboca.com/privacy/
Pepi Hospital 2: Flu Clinic,Pepi Play,https://www.pepiplay.com/privacy_policy/
Giggle Babies - Toddler Care,TutoTOONS,https://tutotoons.com/privacy_policy/
Coloring Games: Color & Paint,RV AppStudios,http://www.rvappstudios.com/privacy_policy_ABC.php
VLC for Android,Videolabs,https://www.videolan.org/vlc/privacy.html
Little Panda's Ice Cream Game,BabyBus,http://en.babybus.com/index/privacyPolicy.shtml
LEGO® Builder,LEGO System A/S,https://www.lego.com/privacy-policy
Tag with Ryan,WildWorks,http://www.wildworks.com/privacy.html
Children's doctor : dentist,YovoGames,http://www.yovogames.com/policy/
Photomath,Photomath, Inc.,https://photomath.com/privacypolicy
Minecraft Education,Mojang,https://aka.ms/privacy
Learn to Read - Duolingo ABC,Duolingo,https://www.duolingo.com/abc-privacy
Hello Kitty Nail Salon,Budge Studios,https://budgestudios.com/legal/privacy-policy/
Kahoot! Play & Create Quizzes,Kahoot!,https://kahoot.com/privacy-policy
Masha and the Bear Pizza Maker,DEVGAME KIDS games,https://devgamekids.com/privacy-policy.html
Noggin Preschool Learning App,Nickelodeon,http://www.nickjr.com/privacy-policy/
Coloring & Learn,Orange Studios Games,http://orangestudiosgames.com/privacy_policy.html
Applaydu family games,Ferrero Trading Lux S.A.,https://applaydu.kinder.com/static/public/docs/app/en/pp/pp-0.0.1.html
Chibi Doll - Avatar Creator,Anime Dress Up Games,https://anime.girls.co.com/privacy-policy.html
Baby Panda World,BabyBus,http://en.babybus.com/index/privacyPolicy.shtml
Icecream Cone Cupcake Baking,Hello-Game,https://thehellogame.com/privacy-policy/
Pepi Hospital: Learn & Care,Pepi Play,https://www.pepiplay.com/privacy_policy/
Barbie Dreamhouse Adventures,Budge Studios,https://budgestudios.com/en/legal/privacy-policy/
ClassDojo,ClassDojo,http://www.classdojo.com/privacy
Valentines love coloring book,Coloring Games,https://www.2-monkeys.nl/privacypolicy.php
Piano Kids - Music & Songs,Orange Studios Games,http://orangestudiosgames.com/privacy_policy.html
Makeup Game- Hair Salon Artist,Hello-Game,https://thehellogame.com/privacy-policy/
Educational games for kids 2-4,Wow Kids,http://eruditoplus.com/privacy-policy
ABC Kids - Tracing & Phonics,RV AppStudios,http://www.rvappstudios.com/privacy_policy_ABC.php
Hot Wheels Unlimited,Budge Studios,https://budgestudios.com/en/legal/privacy-policy/
My City : Jail House,My Town Games Ltd,https://my-town.com/privacy-policy/
L.O.L. Surprise! Beauty Salon,Hippo Kids Games,https://policy.psvgamestudio.com/privacy_policy_hippo_kids_games.html
Drawing Desk: Draw, Paint Art,4Axis Technologies,https://4axis.com/privacy-policy
LEGO® Life: kid-safe community,LEGO System A/S,https://www.lego.com/privacy-policy
Lingokids - Play and Learn,Lingokids - English Learning For Kids,https://lingokids.com/privacy-policy
Little Panda's Town: My World,BabyBus,http://en.babybus.com/index/privacyPolicy.shtml
Hair saloon - Spa salon,YovoGames,http://www.yovogames.com/policy/
WildCraft: Animal Sim Online,Turbo Rocket Games,http://turborocketgames.com/extra/privacypolicy.htm
Floof - My Pet House,TutoTOONS,https://tutotoons.com/privacy_policy/
Baby Panda's Supermarket,BabyBus,http://en.babybus.com/index/privacyPolicy.shtml
Little Panda's Kids Coloring,BabyBus,http://en.babybus.com/index/privacyPolicy.shtml
Prodigy Math: Kids Game,Prodigy Education Inc.,https://www.prodigygame.com/Privacy-Policy/
My City - Boat adventures,My Town Games Ltd,https://my-town.com/privacy-policy/
PAW Patrol Rescue World,Budge Studios,https://budgestudios.com/legal/privacy-policy/
Vlad & Niki Supermarket game,Hippo Kids Games,https://policy.psvgamestudio.com/privacy_policy_hippo_kids_games.html
Baby Panda's School Bus,BabyBus,http://en.babybus.com/index/privacyPolicy.shtml
Gabbys Dollhouse: Games & Cats,Spin Master, Ltd.,https://spinmaster.helpshift.com/a/gabby-s-dollhouse/?p=web&s=privacy-policy&f=privacy-policy&l=en
Bunnsies - Happy Pet World,TutoTOONS,https://tutotoons.com/privacy_policy/
Kids Games: For Toddlers 3-5,RV AppStudios,http://www.rvappstudios.com/privacy_policy_ABC.php
Pinkfong Baby Shark: Kid Games,The Pinkfong Company,http://www.smartstudy.co.kr/privacy/
Baby Care : Toddler games,YovoGames,http://www.yovogames.com/policy/
ABCya! Games,ABCya.com LLC,http://www.abcya.com/privacy.htm
My City : Newborn baby,My Town Games Ltd,https://www.my-town.com/privacy-policy/
Pix123: Color by Number Games,BetterLife Technology,https://sites.google.com/view/123-coloring-games/
sand:box,SmellyMoo,http://www.smellymoo.com/android/sandbox_privacy.html
Baby Games: Piano & Baby Phone,RV AppStudios,http://www.rvappstudios.com/privacy_policy_ABC.php
Baby Panda's Emergency Tips,BabyBus,http://en.babybus.com/index/privacyPolicy.shtml
Yasa Pets Mall,Yasa Ltd,https://www.yasapets.com/legal/
Miga Town: My World,XiHe Digital (GuangZhou) Technology Co., Ltd.,https://miga-kids.com/privacypolicy
Sweet Baby Girl Cleanup 5,TutoTOONS,https://tutotoons.com/privacy_policy/
Talking Gummy bear kids Games,Viva Games Studios,http://vivastudios.com/privacy-policy/
Starfall.com,Starfall Education Foundation,https://teach.starfall.com/lv/info/privacy
Math Kids: Math Games For Kids,RV AppStudios,http://www.rvappstudios.com/privacy_policy_ABC.php
Bubbu – My Virtual Pet Cat,Bubadu,http://www.bubadu.com/privacy-policy.shtml
Puzzle Kids: Jigsaw Puzzles,RV AppStudios,http://www.rvappstudios.com/privacy_policy_ABC.php
Do Not Disturb Funny Prankster,Tapps Games,http://pp.tappsgames.com/?app=br.com.tapps.donotdisturb
Pokémon Quest,The Pokémon Company,https://www.apppokemon.com/quest/webview/kiyaku/kiyaku002/policy.html
Cartoon Network App,Cartoon Network,http://www.cartoonnetwork.com/legal/privacy/mobile.html
Vlad & Niki 12 Locks,RUD Present,http://rud.mygamesonline.org/policy/vn_policy_unity.html
Cry Babies,IMC Toys,https://lagrimasmagicas.com/es/politica-de-privacidad
Sago Mini World: Kids Games,Sago Mini,http://www.sagomini.com/privacypolicy/
Epic: Kids' Books & Reading,Epic! Creations Inc,https://www.getepic.com/privacy/
Lucy: Makeup and Dress up,Wolfoo LLC,https://wolfoogames.com/privacy-policy.html
Jungle Animal Hair Salon 2,TutoTOONS,https://tutotoons.com/privacy_policy/
World of Peppa Pig: Kids Games,Entertainment One,https://www.entertainmentone.com/app-privacy-en/
Toca Kitchen,Toca Boca,http://tocaboca.com/privacy
Hair Salon- Barber Shop,Hello-Game,https://thehellogame.com/privacy-policy/index.html
Piping Bags - Makeup Slime Mix,Slime Games for Girls,https://www.fungamesplaykids.com/privacy-policy
Jungle Floof - Island Pet Care,TutoTOONS,https://tutotoons.com/privacy_policy/
My City : High School,My Town Games Ltd,https://www.my-town.com/privacy-policy/
LEGO® Super Mario™,LEGO System A/S,https://www.lego.com/legal/notices-and-policies/privacy-policy
Miraculous Life,Budge Studios,https://budgestudios.com/en/legal/privacy-policy/
Bini Drawing for kids games,Bini Games,https://binibambini.com/privacy-policy/
